HighCostLowGraduation,LowCostLowGraduation,LowCostHighGraduation,HighCostHighGraduation
244613.0,177551.0,216083.0,197531.0
245652.0,177676.0,216357.0,197601.0
246008.0,177940.0,216418.0,197692.0
246035.0,177995.0,216542.0,197735.0
246202.0,178217.0,216551.0,197869.0
246266.0,178341.0,216630.0,198109.0
246974.0,178387.0,216782.0,198385.0
247010.0,178420.0,217086.0,198419.0
247153.0,178448.0,217606.0,198464.0
247409.0,178721.0,217633.0,198525.0
248633.0,179256.0,217688.0,198747.0
248846.0,179308.0,217721.0,198844.0
249140.0,179344.0,217776.0,198996.0
249609.0,179539.0,217873.0,199005.0
250072.0,179645.0,217907.0,199014.0
250285.0,179715.0,217934.0,199111.0
250498.0,180054.0,217998.0,199120.0
250601.0,180081.0,218159.0,199139.0
251075.0,180151.0,218195.0,199148.0
260336.0,180160.0,218238.0,199184.0
260691.0,180197.0,218414.0,199193.0
260789.0,180203.0,218724.0,199218.0
260813.0,180212.0,218733.0,199263.0
260947.0,180249.0,218919.0,199458.0
260992.0,180276.0,219055.0,199607.0
261375.0,180328.0,219091.0,199689.0
261436.0,180373.0,219204.0,199713.0
261676.0,180489.0,219213.0,199962.0
